Strip nb,length and width ok?,Length / mm,Width / mm,area / mm^2,scaling x / mm/px,scaling y / mm/px,fitmatch (>=0.98), contour left curved ,contour right curved 
1,Yes,95.645,9.717,924.423,0.020992403940554256,0.02119272851873136,0.995,No,No
2,Yes,95.663,9.717,923.732,0.020992403940554256,0.02119272851873136,0.994,No,No
3,Yes,95.686,9.752,928.238,0.020992403940554256,0.02119272851873136,0.995,No,No
4,Yes,95.685,9.698,923.307,0.020992403940554256,0.02119272851873136,0.995,No,No
5,Yes,95.706,9.677,922.135,0.020992403940554256,0.02119272851873136,0.996,No,No
6,Yes,95.708,9.672,920.167,0.020992403940554256,0.02119272851873136,0.994,No,No
7,Yes,95.664,9.657,916.58,0.020992403940554256,0.02119272851873136,0.992,No,No
8,Yes,95.707,9.674,919.956,0.020992403940554256,0.02119272851873136,0.994,No,No
9,Yes,95.665,9.682,919.796,0.020992403940554256,0.02119272851873136,0.993,No,No
10,Yes,95.685,9.656,920.613,0.020992403940554256,0.02119272851873136,0.996,No,No
